filename,cik,company,filing_date,period_of_report,year,has_item_7,item_7_length,json_path
1750_10K_2010_0001047469-10-006500.json,1750,AAR CORP,2010-07-16,2010-05-31,2010,True,36164,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/1750_10K_2010_0001047469-10-006500.json
39911_10K_2022_0000039911-22-000012.json,39911,GAP INC,2022-03-15,2022-01-29,2022,True,44384,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/39911_10K_2022_0000039911-22-000012.json
40211_10K_2021_0000040211-22-000023.json,40211,GATX CORP,2022-02-17,2021-12-31,2021,True,69963,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40211_10K_2021_0000040211-22-000023.json
40533_10K_2021_0000040533-22-000007.json,40533,GENERAL DYNAMICS CORP,2022-02-09,2021-12-31,2021,True,53155,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40533_10K_2021_0000040533-22-000007.json
40545_10K_2021_0000040545-22-000008.json,40545,GENERAL ELECTRIC CO,2022-02-11,2021-12-31,2021,True,98,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40545_10K_2021_0000040545-22-000008.json
40729_10K_2021_0000040729-22-000007.json,40729,Ally Financial Inc.,2022-02-25,2021-12-31,2021,True,262980,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40729_10K_2021_0000040729-22-000007.json
40888_10K_2021_0000040888-22-000005.json,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",2022-02-18,2021-12-31,2021,True,47985,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40888_10K_2021_0000040888-22-000005.json
40987_10K_2021_0000040987-22-000013.json,40987,GENUINE PARTS CO,2022-02-17,2021-12-31,2021,True,50865,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/40987_10K_2021_0000040987-22-000013.json
41091_10K_2021_0000092122-22-000003.json,41091,GEORGIA POWER CO,2022-02-17,2021-12-31,2021,True,837,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/41091_10K_2021_0000092122-22-000003.json
41719_10K_2021_0000041719-22-000012.json,41719,Glatfelter Corp,2022-02-25,2021-12-31,2021,True,31092,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/41719_10K_2021_0000041719-22-000012.json
42582_10K_2021_0000950170-22-001201.json,42582,GOODYEAR TIRE & RUBBER CO /OH/,2022-02-14,2021-12-31,2021,True,124504,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/42582_10K_2021_0000950170-22-001201.json
42682_10K_2021_0001437749-22-004547.json,42682,GORMAN RUPP CO,2022-02-28,2021-12-31,2021,True,35513,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/42682_10K_2021_0001437749-22-004547.json
4281_10K_2021_0000004281-22-000004.json,4281,Howmet Aerospace Inc.,2022-02-14,2021-12-31,2021,True,71694,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/4281_10K_2021_0000004281-22-000004.json
